r6   | yes | head -n1                     | rc=124 |  20041ms | leftover=0 | stderr=
r6   | yes | head -n1                     | rc=124 |  20041ms | leftover=0 | stderr=
r6   | yes | head -n1                     | rc=124 |  20020ms | leftover=0 | stderr=
r6   | slow loop | head -n1               | rc=124 |  20015ms | leftover=0 | stderr=
r6   | stderr-only yes 2>&1 | head -n1    | rc=1   |    515ms | leftover=0 | stderr=
r6   | seq 1e6 | head -c 10               | rc=0   |    602ms | leftover=0 | stderr=
r6   | cat 50MB | head -c 1               | rc=0   |    692ms | leftover=0 | stderr=
r7   | yes | head -n1                     | rc=141 |    588ms | leftover=0 | stderr=
r7   | yes | head -n1                     | rc=141 |    592ms | leftover=0 | stderr=
r7   | yes | head -n1                     | rc=141 |    594ms | leftover=0 | stderr=
r7   | slow loop | head -n1               | rc=141 |    790ms | leftover=0 | stderr=
r7   | stderr-only yes 2>&1 | head -n1    | rc=1   |    518ms | leftover=0 | stderr=
r7   | seq 1e6 | head -c 10               | rc=141 |    589ms | leftover=0 | stderr=
r7   | cat 50MB | head -c 1               | rc=141 |    594ms | leftover=0 | stderr=
