r6  ro-closed | < file outside ws  | sh: 1: cannot create /root/verify/h12267r6/hostdir/victim.txt: Read-only file system direct-rc=2 socket:[4075208] sh: 1: cannot create /proc/self/fd/0: No such device or address | host file: original
r6  ro-closed | < directory        | sh: 1: cannot create /proc/self/fd/0/planted.txt: Directory nonexistent sh: 1: cannot create /proc/self/fd/0/../escaped-up.txt: Directory nonexistent | host: 
r6  ro-closed | < file inside ws   | sh: 1: cannot create /proc/self/fd/0: No such device or address | ws file: ws-original
r6  ro-closed | chmod via fd0      | chmod=ok | mode: 644
r6  ww-closed | < file outside ws  | sh: 1: cannot create /root/verify/h12267r6/hostdir/victim.txt: Read-only file system direct-rc=2 socket:[4076436] sh: 1: cannot create /proc/self/fd/0: No such device or address | host file: original
r6  ww-closed | < directory        | sh: 1: cannot create /proc/self/fd/0/planted.txt: Directory nonexistent sh: 1: cannot create /proc/self/fd/0/../escaped-up.txt: Directory nonexistent | host: 
r6  ww-closed | < file inside ws   | sh: 1: cannot create /proc/self/fd/0: No such device or address | ws file: ws-original
r6  ww-closed | chmod via fd0      | chmod=ok | mode: 644
r7  ro-closed | < file outside ws  | sh: 1: cannot create /root/verify/h12267r6/hostdir/victim.txt: Read-only file system direct-rc=2 /root/verify/h12267r6/hostdir/victim.txt fd0-write=ok | host file: via-fd0
r7  ro-closed | < directory        | dir-write=ok dotdot-write=ok | host: escaped-up.txt sub/planted.txt 
r7  ro-closed | < file inside ws   | fd0-write=ok | ws file: via-fd0
r7  ro-closed | chmod via fd0      | chmod=ok | mode: 666
r7  ww-closed | < file outside ws  | sh: 1: cannot create /root/verify/h12267r6/hostdir/victim.txt: Read-only file system direct-rc=2 /root/verify/h12267r6/hostdir/victim.txt fd0-write=ok | host file: via-fd0
r7  ww-closed | < directory        | dir-write=ok dotdot-write=ok | host: escaped-up.txt sub/planted.txt 
r7  ww-closed | < file inside ws   | fd0-write=ok | ws file: via-fd0
r7  ww-closed | chmod via fd0      | chmod=ok | mode: 666
