=== R6-1 escape probe (policy read-only/closed and workspace-write/closed) ===
A  ro-closed | < host file (outside ws) | sh: 1: cannot create /root/verify/r7/hostdir/victim.txt: Read-only file system direct-rc=2 link=socket:[38224255] sh: 1: cannot create /proc/self/fd/0: No such device or address || host file now: original 
A  ro-closed | < host directory        | sh: 1: cannot create /proc/self/fd/0/planted.txt: Directory nonexistent sh: 1: cannot create /proc/self/fd/0/../escaped-up.txt: Directory nonexistent || planted on host: 
A  ro-closed | < ws file (read-only)    | sh: 1: cannot create /proc/self/fd/0: No such device or address || ws file now: ws-original 
A  ro-closed | chmod via fd0           | chmod=ok || host mode now: 644
A  ww-closed | < host file (outside ws) | sh: 1: cannot create /root/verify/r7/hostdir/victim.txt: Read-only file system direct-rc=2 link=socket:[38222837] sh: 1: cannot create /proc/self/fd/0: No such device or address || host file now: original 
A  ww-closed | < host directory        | sh: 1: cannot create /proc/self/fd/0/planted.txt: Directory nonexistent sh: 1: cannot create /proc/self/fd/0/../escaped-up.txt: Directory nonexistent || planted on host: 
A  ww-closed | < ws file (read-only)    | sh: 1: cannot create /proc/self/fd/0: No such device or address || ws file now: ws-original 
A  ww-closed | chmod via fd0           | chmod=ok || host mode now: 644
B  ro-closed | < host file (outside ws) | sh: 1: cannot create /root/verify/r7/hostdir/victim.txt: Read-only file system direct-rc=2 link=/root/verify/r7/hostdir/victim.txt fd0-write=ok || host file now: via-fd0 
B  ro-closed | < host directory        | dir-write=ok dotdot-write=ok || planted on host: escaped-up.txt sub/planted.txt 
B  ro-closed | < ws file (read-only)    | fd0-write=ok || ws file now: via-fd0 
B  ro-closed | chmod via fd0           | chmod=ok || host mode now: 666
B  ww-closed | < host file (outside ws) | sh: 1: cannot create /root/verify/r7/hostdir/victim.txt: Read-only file system direct-rc=2 link=/root/verify/r7/hostdir/victim.txt fd0-write=ok || host file now: via-fd0 
B  ww-closed | < host directory        | dir-write=ok dotdot-write=ok || planted on host: escaped-up.txt sub/planted.txt 
B  ww-closed | < ws file (read-only)    | fd0-write=ok || ws file now: via-fd0 
B  ww-closed | chmod via fd0           | chmod=ok || host mode now: 666
