nproc=2
WHOLE arm=W1_before_load6 run=1 variant=before hogs=6 exit=0 target=PASS subtest_failures=0 wall=39.11s
WHOLE arm=W1_before_load6 run=2 variant=before hogs=6 exit=0 target=PASS subtest_failures=0 wall=39.62s
WHOLE arm=W1_before_load6 run=3 variant=before hogs=6 exit=0 target=PASS subtest_failures=0 wall=38.48s
WHOLE arm=W1_before_load6 run=4 variant=before hogs=6 exit=0 target=PASS subtest_failures=0 wall=38.70s
WHOLE arm=W1_before_load6 run=5 variant=before hogs=6 exit=0 target=PASS subtest_failures=0 wall=38.82s
WHOLE arm=W1_before_load6 run=6 variant=before hogs=6 exit=0 target=PASS subtest_failures=0 wall=38.53s
/rig/whole.sh: line 44: unexpected EOF while looking for matching `"'
WHOLE arm=W1_after_load6 run=1 variant=after hogs=6 lat=0 exit=0 target=PASS subtest_failures=0 wall=38.45s
WHOLE arm=W1_after_load6 run=2 variant=after hogs=6 lat=0 exit=0 target=PASS subtest_failures=0 wall=38.33s
WHOLE arm=W1_after_load6 run=3 variant=after hogs=6 lat=0 exit=0 target=PASS subtest_failures=0 wall=38.17s
WHOLE arm=W1_after_load6 run=4 variant=after hogs=6 lat=0 exit=0 target=PASS subtest_failures=0 wall=38.34s
WHOLE arm=W1_after_load6 run=5 variant=after hogs=6 lat=0 exit=0 target=PASS subtest_failures=0 wall=37.97s
WHOLE arm=W1_after_load6 run=6 variant=after hogs=6 lat=0 exit=0 target=PASS subtest_failures=0 wall=38.19s
WHOLE arm=W2_before_load12 run=1 variant=before hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=40.15s
WHOLE arm=W2_before_load12 run=2 variant=before hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=40.35s
WHOLE arm=W2_before_load12 run=3 variant=before hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=40.30s
WHOLE arm=W2_before_load12 run=4 variant=before hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=40.11s
WHOLE arm=W2_after_load12 run=1 variant=after hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=39.82s
WHOLE arm=W2_after_load12 run=2 variant=after hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=40.02s
WHOLE arm=W2_after_load12 run=3 variant=after hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=39.94s
WHOLE arm=W2_after_load12 run=4 variant=after hogs=12 lat=0 exit=0 target=PASS subtest_failures=0 wall=39.73s
