# All 'Qwen Code CI' runs on branch autofix/issue-10523: Test(ubuntu) job conclusion, runner, head, and the 'Run .github/scripts helper tests' step
run_id	job_conclusion	runner	head	helper_step conclusion start end
33630481300	null	ecs-qwen-hk4-6	92609a403f	null null null
33610891036	cancelled	ecs-qwen-hk3-14	58d4658011	success 2026-09-02T09:42:48Z 2026-09-02T09:45:54Z
33591545326	success	ecs-qwen-hk5-21	d5c154976c	success 2026-09-02T04:52:08Z 2026-09-02T04:53:07Z
33550808466	success	ecs-qwen-hk5-7	6263226df6	success 2026-09-01T19:51:55Z 2026-09-01T19:52:50Z
33538132478	cancelled	ecs-qwen-hk3-7	38a9b33336	success 2026-09-01T18:09:22Z 2026-09-01T18:11:24Z
33522267326	failure	ecs-qwen-hk5-11	68caad1498	success 2026-09-01T15:05:32Z 2026-09-01T15:06:28Z
33515591667	failure	ecs-qwen-hk5-6	cce6f3a828	success 2026-09-01T13:58:43Z 2026-09-01T13:59:36Z
33463215844	success	ecs-qwen-hk5-26	1b489c1236	success 2026-09-01T02:53:07Z 2026-09-01T02:54:10Z
33392796341	success	ecs-qwen-hk4-26	2167f51e79	success 2026-08-31T12:51:55Z 2026-08-31T12:52:54Z
33324964557	success	ecs-qwen-runner-hk-j6cdqefjt78v0s9jngns-23	fe7f631f34	success 2026-08-30T17:32:45Z 2026-08-30T17:33:41Z
33315224703	cancelled	ecs-qwen-runner-hk-j6c03lyei7s809zq1s6u-25	3b58fb16be	success 2026-08-30T14:18:04Z 2026-08-30T14:19:52Z
33302998858	cancelled	ecs-qwen-runner-hk-j6c03lyei7s809zq1s6u-3	2841f40d0e	success 2026-08-30T09:27:43Z 2026-08-30T09:29:40Z
