=== node v22.23.2 | Linux 6.8.0-117-generic aarch64 | nproc 2 ===
R2 arm=A_before_lat03 run=1 variant=before2 script=none test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=2.60s
R2 arm=A_before_lat03 run=2 variant=before2 script=none test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=2.62s
R2 arm=A_before_lat03 run=3 variant=before2 script=none test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=2.60s
R2 arm=A_before_lat03 run=4 variant=before2 script=none test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=2.62s
R2 arm=A_before_lat03 run=5 variant=before2 script=none test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=2.63s
R2 arm=B_after2_lat03 run=1 variant=after2 script=none test=none lat=0.3s pat=mint ran=1 verdict=PASS wall=6.27s
R2 arm=B_after2_lat03 run=2 variant=after2 script=none test=none lat=0.3s pat=mint ran=1 verdict=PASS wall=6.24s
R2 arm=B_after2_lat03 run=3 variant=after2 script=none test=none lat=0.3s pat=mint ran=1 verdict=PASS wall=6.23s
R2 arm=B_after2_lat03 run=4 variant=after2 script=none test=none lat=0.3s pat=mint ran=1 verdict=PASS wall=6.23s
R2 arm=B_after2_lat03 run=5 variant=after2 script=none test=none lat=0.3s pat=mint ran=1 verdict=PASS wall=6.21s
R2 arm=B_after2_clean run=1 variant=after2 script=none test=none lat=0s pat=mint ran=1 verdict=PASS wall=2.16s
R2 arm=B_after2_clean run=2 variant=after2 script=none test=none lat=0s pat=mint ran=1 verdict=PASS wall=2.17s
R2 arm=B_after2_clean run=3 variant=after2 script=none test=none lat=0s pat=mint ran=1 verdict=PASS wall=2.16s
R2 arm=B_after2_clean run=4 variant=after2 script=none test=none lat=0s pat=mint ran=1 verdict=PASS wall=2.19s
R2 arm=B_after2_clean run=5 variant=after2 script=none test=none lat=0s pat=mint ran=1 verdict=PASS wall=2.18s
R2 arm=S_after2_failopen run=1 variant=after2 script=failopen test=none lat=0s pat=mint ran=1 verdict=FAIL wall=2.17s
R2 arm=S_after2_failopen run=2 variant=after2 script=failopen test=none lat=0s pat=mint ran=1 verdict=FAIL wall=2.20s
R2 arm=S_after2_failopen_lat run=1 variant=after2 script=failopen test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=7.09s
R2 arm=S_after2_failopen_lat run=2 variant=after2 script=failopen test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=7.15s
R2 arm=S_after2_bareassign run=1 variant=after2 script=bareassign test=none lat=0s pat=mint ran=1 verdict=FAIL wall=8.18s
