payload (as output, writer = WriteNulls + WriteBigDecimalAsPlain) | TypeReference (66d1aedb)   | TypeReference + DisableRef | Map.class + DisableReferen | parseObject(String) + Disa
$ref $                         | THROWS StackOverflowError  | same                       | same                       | same                      
$ref @                         | THROWS StackOverflowError  | same                       | same                       | same                      
$ref ..                        | THROWS StackOverflowError  | same                       | same                       | same                      
$ref $.executionStatus         | CHANGED                    | same                       | same                       | same                      
$ref ./common.yaml#/x          | THROWS JSONException       | same                       | same                       | same                      
@type string                   | same                       | same                       | same                       | same                      
@type array                    | CHANGED                    | CHANGED                    | same                       | same                      
@type false                    | CHANGED                    | CHANGED                    | same                       | same                      
@type 7                        | CHANGED                    | CHANGED                    | same                       | same                      
@type object                   | CHANGED                    | CHANGED                    | same                       | same                      
@type null                     | THROWS JSONException       | THROWS JSONException       | same                       | same                      
@type java.util.HashMap        | same                       | same                       | same                       | same                      
nested @type array in list     | same                       | same                       | same                       | same                      
BigDecimal 1E+400 (plain)      | same                       | same                       | same                       | same                      
null value                     | same                       | same                       | same                       | same                      
failures                       | 10                         | 5                          | 0                          | 0                         
