PASS A1   case-variant path                      exp=404 got=404 incompatible no-store=y (empty)
PASS A2   HEAD on route                          exp=404 got=404 incompatible no-store=y (empty)
PASS A3   OPTIONS on route                       exp=404 got=404 incompatible no-store=y (empty)
PASS A4   absolute-form target                   exp=404 got=404 incompatible no-store=y (empty)
PASS A5   double leading slash                   exp=404 got=404 incompatible no-store=y (empty)
PASS A6   percent-encoded segment                exp=404 got=404 incompatible no-store=y (empty)
PASS B1   wrong token, same length               exp=401 got=401 credentials  no-store=y json code=managed_runtime_unauthorized
PASS B2   wrong token, other length              exp=401 got=401 credentials  no-store=y json code=managed_runtime_unauthorized
PASS B3   lowercase "bearer" scheme              exp=401 got=401 credentials  no-store=y json code=managed_runtime_unauthorized
PASS B4   Basic scheme                           exp=401 got=401 credentials  no-store=y json code=managed_runtime_unauthorized
PASS B5   bare token, no scheme                  exp=401 got=401 credentials  no-store=y json code=managed_runtime_unauthorized
PASS C1   Cache-Control: no-store, no-cache      exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS C2   missing lease-id header                exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS C3   epoch "04"                             exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS D1   Content-Type text/plain                exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS D2   no Content-Type                        exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS D3   application/json; charset=utf-8        exp=200 got=200 ok           no-store=y json code=(success)
PASS D4   application/json; charset=latin1       exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS D5   Content-Encoding: gzip (valid)         exp=200 got=200 ok           no-store=y json code=(success)
FAIL D6   Content-Encoding: gzip (corrupt)       exp=400 got=400 protocol     no-store=y text/html "<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8" [STACK TRACE IN BODY]
PASS D7   Content-Encoding: zstd                 exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS D10  gzip bomb: 1 KiB wire, 1 MiB inflated  exp=413 got=413 protocol     no-store=y json code=managed_runtime_attestation_too_large
FAIL D11  Content-Encoding: gzip (truncated)     exp=400 got=400 protocol     no-store=y text/html "<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8" [STACK TRACE IN BODY]
FAIL D12  Content-Encoding: br (corrupt)         exp=400 got=400 protocol     no-store=y text/html "<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8" [STACK TRACE IN BODY]
PASS D8   top-level JSON array                   exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS D9   JSON null                              exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E1   different provisionRequestId           exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS E2   different tenantId                     exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS E3   different workspaceId                  exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS E4   different workspaceCwd                 exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS E5   different (valid) capabilityDigest     exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS E6   different isolationClass               exp=409 got=409 identity     no-store=y json code=managed_runtime_identity_conflict
PASS E7   empty tenantId                         exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E8   workspaceGeneration as number          exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E9   uppercase digest hex                   exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E10  protocolVersion "2" (string)           exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E11  isolationClass "tenant"                exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E12  missing workspaceId                    exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E13  extra "__proto__" key                  exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS E14  digest as 1-element array              exp=400 got=400 protocol     no-store=y json code=managed_runtime_attestation_invalid
PASS F1   body exactly 16384 bytes               exp=200 got=200 ok           no-store=y json code=(success)
PASS F2   body 16385 bytes                       exp=413 got=413 protocol     no-store=y json code=managed_runtime_attestation_too_large
PASS F3   chunked 20000 bytes, no Content-Length exp=413 got=413 protocol     no-store=y json code=managed_runtime_attestation_too_large
PASS G1   h2c upgrade headers (JDK default)      exp=200 got=200 ok           no-store=y json code=(success)

41/44 conform
