  CANCELLED by caller: 20/20 at 2.1s
java=21.0.10 scenario=headers-then-stall calls=20 wait=3s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  RESULT cancelled after 2.1s
  SERVERPORT=34329
  threads parked in readAtMost=0 liveThreads=62
