java=21.0.10 scenario=headers-then-stall calls=300 wait=6s
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
  RESULT failed after 2.1s raw=java.util.concurrent.TimeoutException
