model                base           pr             pr-catalog-off
claude-fable-5       200.0k         1000.0k        200.0k        
claude-sonnet-4-6    200.0k         1000.0k        200.0k        
claude-sonnet-4-5    200.0k         200.0k         200.0k        
qwen-flash           262.1k         1000.0k        262.1k        
qwen3-coder-plus     1000.0k        1048.6k        1000.0k       
MiniMax-M2.5         196.6k         204.8k         196.6k        
glm-4.7              202.8k         204.8k         202.8k        
deepseek-flash       1000.0k        1000.0k        1000.0k       
deepseek-v3          131.1k         131.1k         131.1k        
deepseek-v3-0324     131.1k         163.8k         131.1k        
qwen-long            262.1k         10000.0k       262.1k        
gpt-4                131.1k         8.2k           131.1k        
qwen-math-plus       262.1k         4.1k           262.1k        
