model                base                   pr                     pr-catalog-off        
glm-4.7              16384/16384 (n=2)      16384/16384 (n=2)      16384/16384 (n=2)     
qwq-32b              32000/32000 (n=2)      8192/8192 (n=2)        32000/32000 (n=2)     
Qwen/QwQ-32B         32000/32000 (n=2)      8192/8192 (n=2)        32000/32000 (n=2)     
kimi-k2-thinking     32000/32000 (n=2)      16384/16384 (n=2)      32000/32000 (n=2)     
qvq-max              32000/32000 (n=2)      8192/8192 (n=2)        32000/32000 (n=2)     
deepseek-v3          32000/32000 (n=2)      32000/32000 (n=2)      32000/32000 (n=2)     
deepseek-v3-0324     32000/32000 (n=2)      64000/64000 (n=2)      32000/32000 (n=2)     
qwen-vl-max          32768/32768 (n=2)      32768/32768 (n=2)      32768/32768 (n=2)     
qwen-flash           32768/32768 (n=2)      32768/32768 (n=2)      32768/32768 (n=2)     
gpt-4                16384/16384 (n=2)      4000/4000 (n=2)        16384/16384 (n=2)     
qwen-math-plus       32768/32768 (n=2)      4000/4000 (n=2)        32768/32768 (n=2)     
