N01  SURVIVED   CAS: refuse when current is UNKNOWN — deleted   | matrix rows changed: R1-5b:closed->OPEN, R1-3a:closed->OPEN
N02  KILLED     CAS: current.sameDispatch(expected) — deleted  <- settlementRequiresTheCurrentDispatchClaim:363   | matrix rows changed: SYNTH:closed->OPEN
N03  KILLED     CAS: hasLiveDispatchAt(now) — deleted  <- settlementRequiresALiveLease:388   | matrix rows changed: R1-1b:closed->OPEN
N04  SURVIVED   requireReplacement: expected.sameDispatch(replacement) — deleted   | matrix rows changed: R1-1a:closed->OPEN
N05  KILLED     requireReplacement: cancel-drop refusal — deleted  <- cancellationIntentDoesNotRequireTheDispatchClaim:474   | matrix rows changed: R1-3b1:closed->OPEN
N06  KILLED     claimDispatch: EXECUTING takeover -> UNKNOWN — EXECUTING disjunct deleted  <- takeoverOfExecutingClaimBecomesUnknown:422   | matrix rows changed: R1-2:closed->OPEN, LIVE:ok->n/a
N07  SURVIVED   claimDispatch: CANCEL_REQUESTED takeover -> UNKNOWN — disjunct deleted   | matrix rows changed: none
N08  KILLED     withUnknown: keep claim reverted to clearing it  <- takeoverOfExecutingClaimBecomesUnknown:428   | matrix rows changed: FORCE-UNKNOWN:OPEN->closed, R1-5b:closed->ERROR, R1-3a:closed->ERROR, OWN-UNKNOWN:ok->BLOCKED
N09  SURVIVED   requestCancel: expectedVersion check — deleted   | matrix rows changed: none
N10  KILLED     requestCancel: settled check — deleted  <- cancellationIntentDoesNotRequireTheDispatchClaim:484   | matrix rows changed: none
N11  KILLED     requestCancel: idempotent early return — deleted  <- cancellationIntentDoesNotRequireTheDispatchClaim:469   | matrix rows changed: none
N12  KILLED     requestCancel: EXECUTING -> CANCEL_REQUESTED — state kept instead  <- cancellationIntentDoesNotRequireTheDispatchClaim:467   | matrix rows changed: none
N13  KILLED     requestCancel: PREPARED settles immediately — deleted  <- cancelBeforeDispatchSettlesImmediately:498   | matrix rows changed: none
N14  SURVIVED   resolveUnknown(repo): sameIdentity — deleted   | matrix rows changed: none
N15  SURVIVED   resolveUnknown(repo): version check — deleted   | matrix rows changed: none
N16  KILLED     resolveUnknown(repo): state == UNKNOWN check — deleted  <- takeoverOfExecutingClaimBecomesUnknown:444   | matrix rows changed: none
N17  SURVIVED   resolveUnknown(repo): expected-null guard — deleted   | matrix rows changed: none
killed 10/17
