none	main	0/565	
none	pr	0/765	
none	supplement	0/22	
J1	main	0/565	
J1	pr	11/765	attest:tenant-other-case attest:workspace-other-case attest:storage-other-case attest:storage-scheme-other-case attest:storage-host-other-case attest:provision-request-other-case install:binding-tenant-other-case#0 install:binding-workspace-other-case#0 install:binding-storage-other-case#0 install:binding-storage-scheme-other-case#0 install:binding-storage-host-other-case#0
J1	supplement	2/22	attest:D2-storage-path-other-case install:D2-binding-storage-path-other-case#0
J1a	main	0/565	
J1a	pr	6/765	attest:tenant-other-case attest:workspace-other-case attest:storage-other-case attest:storage-scheme-other-case attest:storage-host-other-case attest:provision-request-other-case
J1a	supplement	1/22	attest:D2-storage-path-other-case
J1i	main	0/565	
J1i	pr	5/765	install:binding-tenant-other-case#0 install:binding-workspace-other-case#0 install:binding-storage-other-case#0 install:binding-storage-scheme-other-case#0 install:binding-storage-host-other-case#0
J1i	supplement	1/22	install:D2-binding-storage-path-other-case#0
J2	main	1/565	attest:mount-root-trailing-slash
J2	pr	4/765	attest:mount-root-trailing-slash attest:mount-root-double-slash attest:mount-root-dot-segment attest:mount-root-parent-segment
J2	supplement	0/22	
J3	main	0/565	
J3	pr	8/765	attest:storage-scheme-other-case attest:storage-host-other-case attest:storage-dot-segment attest:storage-parent-segment install:binding-storage-scheme-other-case#0 install:binding-storage-host-other-case#0 install:binding-storage-dot-segment#0 install:binding-storage-parent-segment#0
J3	supplement	1/22	attest:D2-storage-double-slash
J3-pct	main	0/565	
J3-pct	pr	2/765	attest:storage-percent-encoded install:binding-storage-percent-encoded#0
J3-pct	supplement	0/22	
J4	main	0/565	
J4	pr	3/765	ready:instance-other-case ready:incarnation-other-case ready:lease-other-case
J4	supplement	0/22	
J5	main	0/565	
J5	pr	1/765	ready:url-with-fragment
J5	supplement	0/22	
J6	main	0/565	
J6	pr	2/765	install:treats-session-ids-exactly#1 install:treats-operation-ids-exactly#1
J6	supplement	1/22	install:D1-operation-replay-session-other-case#1
J6s	main	0/565	
J6s	pr	1/765	install:treats-session-ids-exactly#1
J6s	supplement	1/22	install:D1-operation-replay-session-other-case#1
J6o	main	0/565	
J6o	pr	1/765	install:treats-operation-ids-exactly#1
J6o	supplement	0/22	
J7	main	0/565	
J7	pr	6/765	boot:signed-generation boot:generation-with-non-ascii-digit attest:signed-generation attest:generation-with-non-ascii-digit attest:signed-generation-with-other-identity attest:generation-with-non-ascii-digit-with-other-identity
J7	supplement	2/22	boot:A-generation-trailing-non-ascii-digit attest:A-generation-trailing-non-ascii-digit
J8	main	3/565	boot:capability-digest-with-trailing-newline attest:capability-digest-with-trailing-newline attest:capability-digest-with-trailing-newline-with-other-identity
