control	main	10427780	0/592	
control	pr	10427780	0/792	
D1a-install-case-insensitive	main	c43a5c24	0/592	
D1a-install-case-insensitive	pr	c43a5c24	5/792	'binding-tenant-other-case' installation sequence | 'binding-workspace-other-case' installation sequence | 'binding-storage-other-case' installation sequence | 'binding-storage-scheme-other-case' installation sequence | 'binding-storage-host-other-case' installation sequence
D2-session-conflict-on-cwd-only	main	4b81acb7	0/592	
D2-session-conflict-on-cwd-only	pr	4b81acb7	2/792	'changes-only-the-revision' installation sequence | 'changes-only-the-config' installation sequence
I4-operation-conflict-overwrites	main	2ec39556	0/592	
I4-operation-conflict-overwrites	pr	2ec39556	5/792	'after-an-operation-conflict-replays-t…' installation sequence | 'after-another-sessions-reuse-replays-…' installation sequence | 'after-another-sessions-reuse-keeps-th…' installation sequence | 'keeps-the-operation-after-another-ses…' installation sequence | 'keeps-the-original-receipt-after-anot…' installation sequence
D1b-attest-case-insensitive	main	3e2ef2d0	0/592	
D1b-attest-case-insensitive	pr	3e2ef2d0	6/792	'tenant-other-case' attestation case | 'workspace-other-case' attestation case | 'storage-other-case' attestation case | 'storage-scheme-other-case' attestation case | 'storage-host-other-case' attestation case | 'provision-request-other-case' attestation case
I3-other-session-reuse-before-digest	main	2f82dccf	0/592	
I3-other-session-reuse-before-digest	pr	2f82dccf	5/792	'checks-the-tenant-before-an-operation…' installation sequence | 'checks-the-workspace-id-before-an-ope…' installation sequence | 'checks-the-generation-before-an-opera…' installation sequence | 'checks-the-storage-before-an-operatio…' installation sequence | 'checks-the-digest-before-an-operation…' installation sequence
