case                         call pattern        pre-cache 89b057befd  PR 8cc4ad55d0         same?
compiles, $id                same object x4      err,err,err,err       err,err,err,err       yes
compiles, $id                new object x4       err,skip,skip,skip    err,err,err,err       DIFFERS
draft-04, $id                same object x4      skip,err,err,err      skip,err,err,err      yes
draft-04, $id                new object x4       skip,skip,skip,skip   skip,skip,skip,skip   yes
draft-04, no $id             same object x4      skip,err,err,err      skip,err,err,err      yes
draft-04, no $id             new object x4       skip,skip,skip,skip   skip,skip,skip,skip   yes
unresolvable $ref, $id       same object x4      skip,skip,skip,skip   skip,skip,skip,skip   yes
unresolvable $ref, $id       new object x4       skip,skip,skip,skip   skip,skip,skip,skip   yes
meta-schema violation, $id   same object x4      skip,skip,skip,skip   skip,skip,skip,skip   yes
meta-schema violation, $id   new object x4       skip,skip,skip,skip   skip,skip,skip,skip   yes
nested $id                   same object x4      err,err,err,err       err,err,err,err       yes
nested $id                   new object x4       err,skip,skip,skip    err,err,err,err       DIFFERS
inexact (NaN), $id           same object x4      err,err,err,err       err,err,err,err       yes
inexact (NaN), $id           new object x4       err,skip,skip,skip    err,skip,skip,skip    yes
rows that differ: 2
